"Story","Title","Result","Date","Stability","Duration (s)"
"Login","POST - Login with empty email","SUCCESS","2023-05-10T15:53:13.7049062+07:00[Asia/Jakarta]","0.0","0.55"
"Login","POST - Login with empty password","SUCCESS","2023-05-10T15:53:14.3325451+07:00[Asia/Jakarta]","0.0","0.63"
"Login","POST - Login without payload","SUCCESS","2023-05-10T15:53:14.975179+07:00[Asia/Jakarta]","0.0","0.41"
"Login","POST - Login with empty body parameter","SUCCESS","2023-05-10T15:53:15.4009327+07:00[Asia/Jakarta]","0.0","0.46"
"User Information","GET - Get user information","SUCCESS","2023-05-10T15:53:15.8846558+07:00[Asia/Jakarta]","0.0","0.33"
"User Information","GET - Get user information without token","SUCCESS","2023-05-10T15:53:16.2384525+07:00[Asia/Jakarta]","0.0","0.69"
"Categories","POST - Add new category","SUCCESS","2023-05-10T15:53:16.94105+07:00[Asia/Jakarta]","0.0","0.56"
"Categories","POST - Add new category without description data payload","SUCCESS","2023-05-10T15:53:17.6086675+07:00[Asia/Jakarta]","0.0","0.67"
"Categories","POST - Add new category without name data payload","SUCCESS","2023-05-10T15:53:18.2872777+07:00[Asia/Jakarta]","0.0","0.35"
"Categories","GET - Get list all categories","SUCCESS","2023-05-10T15:53:18.661064+07:00[Asia/Jakarta]","0.0","0.61"
"Categories","GET - Get categories by ID","SUCCESS","2023-05-10T15:53:19.3383541+07:00[Asia/Jakarta]","0.0","0.44"
"Product","POST - Add new product product","SUCCESS","2023-05-10T15:53:19.8007852+07:00[Asia/Jakarta]","0.0","0.4"
"Product","POST - Add new product without Name payload","SUCCESS","2023-05-10T15:53:20.2065476+07:00[Asia/Jakarta]","0.0","0.36"
"Product","POST - Add new product without Description payload","SUCCESS","2023-05-10T15:53:20.5732962+07:00[Asia/Jakarta]","0.0","0.26"
"Product","GET - Get product by ID","SUCCESS","2023-05-10T15:53:20.8436879+07:00[Asia/Jakarta]","0.0","0.81"
"Product","GET - Get all product","SUCCESS","2023-05-10T15:53:21.683944+07:00[Asia/Jakarta]","0.0","0.3"
"Order","POST - Add new orders","SUCCESS","2023-05-10T15:53:22.0017617+07:00[Asia/Jakarta]","0.0","0.43"
"Order","GET - Get all order","SUCCESS","2023-05-10T15:53:22.4578642+07:00[Asia/Jakarta]","0.0","0.32"
"Order","GET - Get all order without login","SUCCESS","2023-05-10T15:53:22.7905622+07:00[Asia/Jakarta]","0.0","0.26"
"Rating","POST - Give product rating","SUCCESS","2023-05-10T15:53:23.0694531+07:00[Asia/Jakarta]","0.0","0.4"
"Rating","POST - Give product rating out of bond","SUCCESS","2023-05-10T15:53:23.4856885+07:00[Asia/Jakarta]","0.0","0.31"
"Rating","GET - Get product rating","SUCCESS","2023-05-10T15:53:23.8155269+07:00[Asia/Jakarta]","0.0","0.27"
